Rank,Movie,World_Wide_Sales,Domestic_Sales,Foriegn_Sales,Genre,Release_Year,IMBD_Rating,Rated,Year_Id
2,"The Hobbit: The Battle of the Five Armies",956020000,255120000,700900000,"Adventure, Fantasy",2014,7.4,PG-13,2
3,"Guardians of the Galaxy",772777000,333177000,439600000,"Action, Adventure, Comedy",2014,8,PG-13,3
6,"X-Men: Days of Future Past",746046000,233922000,512124000,"Action, Adventure, Sci-Fi",2014,8,PG-13,6
7,"Captain America: The Winter Soldier",714422000,259767000,454655000,"Action, Adventure, Sci-Fi",2014,7.7,PG-13,7
8,"Dawn of the Planet of the Apes",710645000,208546000,502099000,"Action, Adventure, Drama",2014,7.6,PG-13,8
9,"The Amazing Spider-Man 2",708982000,202854000,506128000,"Action, Adventure, Sci-Fi",2014,6.6,PG-13,9
10,Interstellar,677464000,188020000,489444000,"Adventure, Drama, Sci-Fi",2014,8.6,PG-13,10
11,"Big Hero 6",657828000,222528000,435300000,"Animation, Action, Adventure",2014,7.8,PG,11
12,"How to Train Your Dragon 2",621538000,177003000,444535000,"Animation, Action, Adventure",2014,7.8,PG,12
13,"American Sniper",547426000,350126000,197300000,"Action, Biography, Drama",2014,7.3,R,13
14,Godzilla,524976000,200676000,324300000,"Action, Adventure, Sci-Fi",2014,6.4,PG-13,14
17,"The Lego Movie",468061000,257761000,210300000,"Animation, Action, Adventure",2014,7.8,PG,17
20,"Edge of Tomorrow",370541000,100206000,270335000,"Action, Sci-Fi",2014,7.9,PG-13,20
21,"Gone Girl",369330000,167767000,201563000,"Drama, Mystery, Thriller",2014,8.1,R,21
23,Noah,359200000,101200000,258000000,"Action, Adventure, Drama",2014,5.8,PG-13,23
36,"The Imitation Game",233556000,91125700,142430000,"Biography, Drama, Thriller",2014,8,PG-13,36
41,Fury,211818000,85817900,126000000,"Action, Drama, War",2014,7.6,R,41
44,"The Equalizer",192331000,101531000,90800000,"Action, Crime, Thriller",2014,7.2,R,44
46,"The Grand Budapest Hotel",172937000,59301300,113636000,"Adventure, Comedy, Crime",2014,8.1,R,46
49,Unbroken,161459000,115638000,45821400,"Biography, Drama, Sport",0,7.2,PG-13,49
50,"The Monuments Men",154984000,78031600,76952400,"Comedy, Drama, History",2014,6.1,PG-13,50
59,"The Theory of Everything",123727000,35893500,87833200,"Biography, Drama, Romance",2014,7.7,PG-13,59
65,"The Boxtrolls",108256000,50837300,57418500,"Animation, Adventure, Comedy",2014,6.8,PG,65
69,"Birdman or (The Unexpected Virtue of Ignorance)",103215000,42340600,60874500,"Comedy, Drama",2014,7.7,R,69
70,Transcendence,103039000,23022300,80017000,"Drama, Sci-Fi, Thriller",0,6.3,PG-13,70
83,"John Wick",86013100,43037800,42975200,"Action, Crime, Thriller",2014,7.4,R,83
